indexSequence,HydrophobicZ1,HydrophobicZ2,HydrophobicZ3,HydrophobicZ4,HydrophobicZ5,HydrophilicityZ1,HydrophilicityZ2,HydrophilicityZ3,HydrophilicityZ4,HydrophilicityZ5,HydrophobicityZ1,HydrophobicityZ2,HydrophobicityZ3,HydrophobicityZ4,HydrophobicityZ5
CHR-1-Sequence-1,7.00389105058,25.2918287938,66.9260700389,0.778210116732,0.0,7.78210116732,28.7937743191,63.4241245136,0.0,0.0,4.66926070039,18.2879377432,75.8754863813,1.1673151751,0.0
CHR-1-Sequence-2,12.4513618677,33.4630350195,53.3073929961,0.778210116732,0.0,15.1750972763,36.9649805447,47.859922179,0.0,0.0,7.39299610895,29.5719844358,63.0350194553,0.0,0.0
CHR-1-Sequence-5,18.6770428016,31.1284046693,50.1945525292,0.0,0.0,17.8988326848,37.7431906615,44.3579766537,0.0,0.0,12.8404669261,34.6303501946,52.140077821,0.389105058366,0.0
CHR-1-Sequence-6,21.7898832685,25.2918287938,51.7509727626,1.1673151751,0.0,22.1789883268,35.0194552529,42.8015564202,0.0,0.0,15.5642023346,34.2412451362,49.8054474708,0.389105058366,0.0
CHR-1-Sequence-7,4.28015564202,29.9610894942,64.2023346304,1.55642023346,0.0,7.00389105058,32.6848249027,59.9221789883,0.389105058366,0.0,1.55642023346,18.6770428016,79.766536965,0.0,0.0
CHR-1-Sequence-8,24.9027237354,31.1284046693,43.579766537,0.389105058366,0.0,25.6809338521,40.46692607,33.8521400778,0.0,0.0,16.7315175097,35.7976653696,46.6926070039,0.778210116732,0.0
CHR-1-Sequence-9,13.2295719844,34.6303501946,51.7509727626,0.389105058366,0.0,14.3968871595,41.2451361868,44.3579766537,0.0,0.0,7.78210116732,29.5719844358,62.6459143969,0.0,0.0
CHR-1-Sequence-10,0.0,12.0622568093,85.9922178988,1.55642023346,0.389105058366,0.0,16.3424124514,83.2684824903,0.389105058366,0.0,0.389105058366,4.28015564202,94.5525291829,0.778210116732,0.0
CHR-1-Sequence-11,15.953307393,28.4046692607,55.6420233463,0.0,0.0,12.0622568093,40.46692607,47.4708171206,0.0,0.0,14.7859922179,33.4630350195,51.7509727626,0.0,0.0
CHR-1-Sequence-12,12.4513618677,35.4085603113,51.7509727626,0.389105058366,0.0,12.8404669261,39.2996108949,47.859922179,0.0,0.0,7.39299610895,31.1284046693,61.0894941634,0.389105058366,0.0
CHR-1-Sequence-13,19.4552529183,31.906614786,48.6381322957,0.0,0.0,17.5097276265,35.0194552529,47.4708171206,0.0,0.0,15.1750972763,36.9649805447,47.859922179,0.0,0.0
CHR-1-Sequence-14,21.4007782101,32.2957198444,46.3035019455,0.0,0.0,17.1206225681,41.6342412451,41.2451361868,0.0,0.0,20.6225680934,32.2957198444,46.3035019455,0.778210116732,0.0
CHR-1-Sequence-15,21.4007782101,36.5758754864,41.2451361868,0.778210116732,0.0,23.3463035019,36.9649805447,39.6887159533,0.0,0.0,17.8988326848,34.6303501946,46.6926070039,0.0,0.778210116732
CHR-1-Sequence-16,26.4591439689,29.1828793774,43.579766537,0.778210116732,0.0,26.4591439689,36.5758754864,36.9649805447,0.0,0.0,19.4552529183,34.2412451362,45.5252918288,0.0,0.778210116732
CHR-1-Sequence-17,28.7937743191,32.6848249027,37.7431906615,0.778210116732,0.0,31.1284046693,35.0194552529,33.8521400778,0.0,0.0,16.3424124514,33.8521400778,48.6381322957,1.1673151751,0.0
CHR-1-Sequence-18,0.778210116732,10.1167315175,87.9377431907,1.1673151751,0.0,2.33463035019,16.7315175097,80.9338521401,0.0,0.0,0.0,11.673151751,87.9377431907,0.389105058366,0.0
CHR-1-Sequence-23,5.44747081712,33.0739299611,61.0894941634,0.389105058366,0.0,7.39299610895,30.7392996109,61.8677042802,0.0,0.0,3.89105058366,21.4007782101,74.3190661479,0.0,0.389105058366
CHR-1-Sequence-24,0.389105058366,6.61478599222,90.6614785992,1.55642023346,0.778210116732,0.389105058366,15.1750972763,84.046692607,0.389105058366,0.0,0.0,3.50194552529,96.1089494163,0.389105058366,0.0
CHR-1-Sequence-25,2.72373540856,16.3424124514,80.5447470817,0.389105058366,0.0,3.50194552529,24.9027237354,71.2062256809,0.389105058366,0.0,1.55642023346,12.4513618677,85.2140077821,0.778210116732,0.0
CHR-1-Sequence-26,1.55642023346,18.2879377432,79.766536965,0.389105058366,0.0,3.50194552529,22.9571984436,73.5408560311,0.0,0.0,1.1673151751,6.22568093385,91.8287937743,0.778210116732,0.0
CHR-1-Sequence-31,19.4552529183,29.5719844358,50.1945525292,0.778210116732,0.0,17.8988326848,36.9649805447,45.1361867704,0.0,0.0,15.5642023346,35.7976653696,47.859922179,0.778210116732,0.0
CHR-1-Sequence-32,20.233463035,31.906614786,46.6926070039,1.1673151751,0.0,22.1789883268,40.8560311284,36.9649805447,0.0,0.0,10.5058365759,36.9649805447,51.3618677043,1.1673151751,0.0
CHR-1-Sequence-33,17.5097276265,35.7976653696,46.6926070039,0.0,0.0,18.6770428016,40.0778210117,41.2451361868,0.0,0.0,14.0077821012,35.7976653696,50.1945525292,0.0,0.0
CHR-1-Sequence-34,9.33852140078,30.7392996109,58.7548638132,1.1673151751,0.0,11.2840466926,30.7392996109,57.9766536965,0.0,0.0,5.83657587549,33.4630350195,59.9221789883,0.778210116732,0.0
CHR-1-Sequence-35,13.6186770428,29.5719844358,56.420233463,0.0,0.389105058366,10.8949416342,34.6303501946,54.4747081712,0.0,0.0,6.22568093385,33.0739299611,60.3112840467,0.389105058366,0.0
CHR-1-Sequence-36,11.673151751,26.4591439689,61.0894941634,0.778210116732,0.0,10.1167315175,30.7392996109,59.1439688716,0.0,0.0,5.83657587549,28.4046692607,65.3696498054,0.389105058366,0.0
CHR-1-Sequence-37,15.5642023346,34.2412451362,50.1945525292,0.0,0.0,13.2295719844,45.1361867704,41.6342412451,0.0,0.0,7.39299610895,35.4085603113,56.8093385214,0.389105058366,0.0
CHR-1-Sequence-38,10.1167315175,31.906614786,57.5875486381,0.389105058366,0.0,8.17120622568,41.2451361868,50.5836575875,0.0,0.0,4.28015564202,25.6809338521,69.6498054475,0.389105058366,0.0
CHR-1-Sequence-39,11.673151751,37.3540856031,50.5836575875,0.389105058366,0.0,15.953307393,40.8560311284,43.1906614786,0.0,0.0,7.00389105058,30.7392996109,61.8677042802,0.389105058366,0.0
CHR-1-Sequence-41,24.9027237354,33.8521400778,40.0778210117,1.1673151751,0.0,24.513618677,35.7976653696,39.6887159533,0.0,0.0,17.1206225681,39.6887159533,42.4124513619,0.0,0.778210116732
CHR-1-Sequence-42,17.8988326848,38.1322957198,43.579766537,0.389105058366,0.0,21.7898832685,43.1906614786,34.6303501946,0.0,0.389105058366,14.3968871595,34.2412451362,50.1945525292,0.778210116732,0.389105058366
CHR-1-Sequence-43,4.66926070039,22.5680933852,71.9844357977,0.778210116732,0.0,5.05836575875,32.2957198444,62.6459143969,0.0,0.0,1.94552529183,21.4007782101,76.2645914397,0.389105058366,0.0
