indexSequence,classCeratoP,classCeratoU,classH2,classH1
A0A135TEB8,0,0,1,1
EKV46160.1,0,0,1,1
A0A319A7T7,0,0,1,1
PPQ75285.1,0,0,1,1
WP_036924621.1,0,0,1,1
A0A067TLW0,0,0,1,1
WP_010332321.1,0,0,1,1
PSR82511.1,0,0,1,1
RAP16969.1,0,0,1,1
CAD92803.1,0,0,1,1
D8PTH5,0,0,1,1
A0A094DER7,0,0,1,1
Q6J758,0,0,1,1
GAW15057.1,0,0,1,1
TFK37436.1,0,0,1,1
Q6J763,0,0,1,1
TFK48976.1,0,0,1,1
A0A067N582,0,0,1,1
B8R3G7,0,0,1,1
XP_028511428.1,0,0,1,1
A0A0B2WR45,0,0,1,1
A0A319CQX1,0,0,1,1
A0A2R6QEL6,0,0,1,1
RPD65513.1,0,0,1,1
A0A3F3R559,0,0,1,1
XP_001907576.1,0,0,1,1
pdb|4BHU|I,0,0,1,1
WP_087634997.1,0,0,1,1
A0A409XAZ9,0,0,1,1
A0A3N4JND3,0,0,1,1
A0A369HIV7,0,0,1,1
A0A1V6SM27,0,0,1,1
PYI22888.1,0,0,1,1
CAD28410.1,0,0,1,1
XP_001598914.1,0,0,1,1
KFA71824.1,0,0,1,1
A0A401KK39,0,0,1,1
A0A2A9N6T9,0,0,1,1
Q0PCV2,0,0,1,1
PQE11198.1,0,0,1,1
tr|A0A2W1DWX3|A0A2W1DWX3_9PLEO,0,0,1,1
Q86ZF5,0,0,1,1
A0A3N4JS56,0,0,1,1
EKV46977.1,0,0,1,1
TPR10397.1,0,0,1,1
A0A2J5HD97,0,0,1,1
KLP15837.1,0,0,1,1
WP_099744236.1,0,0,1,1
XP_001592522.1,0,0,1,1
A0A319B068,0,0,1,1
A0A067T101,0,0,1,1
RKU47763.1,0,0,1,1
EWG47635.1,0,0,1,1
