Unnamed: 0,ID,conf90,conf95,conf99,numberCys,numberCysCys,pattern
0,g1.t1,1,1,1,1,1,1
1,g2.t1,1,1,1,0,1,1
2,g3.t1,1,1,1,0,1,1
3,g4.t1,1,1,1,1,1,1
4,g5.t1,1,1,1,1,1,1
5,g6.t1,1,1,1,1,1,1
6,g7.t1,1,1,1,1,1,1
7,g8.t1,1,1,1,1,1,1
8,g9.t1,1,1,1,1,1,1
9,g10.t1,1,1,1,0,1,1
10,g11.t1,1,1,1,1,1,1
11,g12.t1,1,1,1,1,1,1
12,g13.t1,1,1,1,1,1,1
13,g14.t1,1,1,1,1,0,1
14,g15.t1,1,1,1,1,1,1
15,g16.t1,1,1,1,1,1,1
16,g17.t1,1,1,1,0,1,1
17,g18.t1,1,1,1,1,1,1
18,g19.t1,1,1,1,1,1,1
19,g20.t1,1,1,1,1,1,1
20,g21.t1,1,1,1,0,0,1
21,g22.t1,0,0,0,1,1,1
22,g23.t1,1,1,1,1,1,1
23,g24.t1,1,1,1,1,1,1
24,g25.t1,1,1,1,0,1,1
25,g26.t1,1,1,1,0,1,1
26,g27.t1,1,1,1,0,1,1
27,g28.t1,0,0,0,1,1,1
28,g29.t1,1,1,1,0,1,1
29,g30.t1,1,1,1,0,1,1
30,g31.t1,1,1,1,0,1,1
31,g32.t1,1,1,1,1,1,1
32,g33.t1,1,1,1,1,1,1
33,g34.t1,1,1,1,0,1,1
34,g35.t1,1,1,1,0,1,1
35,g36.t1,1,1,1,0,1,1
36,g37.t1,1,1,1,1,1,1
37,g38.t1,1,1,1,1,1,1
38,g39.t1,1,1,1,0,1,1
39,g40.t1,1,0,0,1,1,1
40,g41.t1,1,1,1,0,1,1
41,g42.t1,1,1,1,1,1,1
42,g43.t1,1,1,1,1,1,1
43,g44.t1,1,1,1,1,1,1
44,g45.t1,1,1,1,1,1,1
45,g46.t1,1,1,1,1,1,1
46,g47.t1,1,1,1,1,1,1
47,g48.t1,1,1,1,1,1,1
48,g49.t1,1,1,1,1,1,1
49,g50.t1,0,0,0,1,1,1
50,g51.t1,1,1,1,1,1,1
51,g52.t1,1,1,1,0,1,1
52,g53.t1,1,1,1,0,1,1
53,g54.t1,1,1,1,0,1,1
54,g55.t1,1,1,1,0,1,1
55,g56.t1,1,1,1,0,1,1
56,g57.t1,1,1,1,1,1,1
57,g58.t1,1,1,1,1,1,1
58,g59.t1,1,1,1,1,1,1
59,g60.t1,1,1,1,0,1,1
60,g61.t1,1,1,1,0,1,1
61,g62.t1,1,1,1,1,1,1
62,g63.t1,1,0,0,1,1,1
63,g64.t1,1,0,0,1,1,1
64,g65.t1,1,1,1,1,1,1
65,g66.t1,1,1,1,1,1,1
66,g67.t1,0,0,0,1,1,1
67,g68.t1,1,1,1,1,1,1
68,g69.t1,1,1,1,0,1,1
69,g70.t1,1,1,1,1,1,1
70,g71.t1,1,1,1,1,1,1
71,g72.t1,1,1,1,1,1,1
72,g73.t1,1,1,1,1,1,1
73,g74.t1,1,1,1,0,1,1
74,g75.t1,1,1,1,0,1,1
75,g76.t1,1,1,1,1,1,1
76,g77.t1,1,1,1,1,1,1
77,g78.t1,1,1,1,1,1,1
78,g79.t1,1,1,1,0,1,1
79,g80.t1,1,1,1,1,1,1
80,g81.t1,1,1,0,1,1,1
81,g82.t1,1,1,1,0,1,1
82,g83.t1,0,0,0,1,1,1
83,g84.t1,1,1,1,0,1,1
84,g85.t1,1,1,1,1,1,1
85,g86.t1,1,1,1,0,1,1
