indexSequence,class,zone1,zone2,zone3,zone4,zone5
O13300,1,4.6511627907,21.7054263566,72.8682170543,0.77519379845,0.0
Q04571,1,0.0,8.52713178295,90.6976744186,0.77519379845,0.0
A0A014PL62,1,0.0,2.32558139535,97.6744186047,0.0,0.0
A0A017S216,1,0.0,9.3023255814,89.9224806202,0.77519379845,0.0
A0A022W2T9,1,0.0,3.1007751938,96.1240310078,0.77519379845,0.0
A0A024BKG7,0,0.0,0.77519379845,99.2248062016,0.0,0.0
A0A060PSU7,1,0.0,4.6511627907,94.5736434109,0.77519379845,0.0
A0A060PVE9,1,0.0,10.0775193798,89.9224806202,0.0,0.0
A0A060PWJ7,1,0.0,1.5503875969,97.6744186047,0.77519379845,0.0
A0A060Q2B2,1,0.0,1.5503875969,96.8992248062,1.5503875969,0.0
A0A060SCJ8,1,0.77519379845,9.3023255814,89.9224806202,0.0,0.0
A0A063BZU9,1,0.77519379845,10.0775193798,88.3720930233,0.77519379845,0.0
A0A067N4P7,1,0.0,2.32558139535,97.6744186047,0.0,0.0
A0A067N582,1,0.0,3.1007751938,96.8992248062,0.0,0.0
A0A067NB31,1,0.0,9.3023255814,90.6976744186,0.0,0.0
A0A067NFU6,1,0.0,10.8527131783,88.3720930233,0.77519379845,0.0
A0A067NH06,1,0.0,9.3023255814,90.6976744186,0.0,0.0
A0A067NRQ5,1,0.0,3.1007751938,96.8992248062,0.0,0.0
A0A067PDQ2,1,0.0,9.3023255814,90.6976744186,0.0,0.0
A0A067PSA4,0,0.0,0.77519379845,99.2248062016,0.0,0.0
A0A067PUD9,0,0.0,0.0,100.0,0.0,0.0
A0A067Q958,1,0.0,3.87596899225,96.1240310078,0.0,0.0
A0A067QF90,0,0.0,0.0,100.0,0.0,0.0
A0A067QFZ1,1,0.0,6.97674418605,93.023255814,0.0,0.0
A0A067SGQ1,1,0.0,3.1007751938,96.8992248062,0.0,0.0
A0A067SK11,1,0.0,5.42635658915,94.5736434109,0.0,0.0
A0A067SKW9,1,0.0,7.7519379845,91.4728682171,0.77519379845,0.0
A0A067SQT4,1,0.0,1.5503875969,98.4496124031,0.0,0.0
A0A067T101,1,0.0,3.87596899225,93.7984496124,2.32558139535,0.0
A0A067TEU6,1,0.77519379845,10.0775193798,86.8217054264,2.32558139535,0.0
A0A067TFP1,1,0.0,4.6511627907,95.3488372093,0.0,0.0
A0A067TLW0,1,0.0,5.42635658915,94.5736434109,0.0,0.0
A0A067TM83,1,0.0,4.6511627907,95.3488372093,0.0,0.0
A0A067TMF1,0,0.0,0.77519379845,99.2248062016,0.0,0.0
A0A084G9F1,1,0.0,0.77519379845,97.6744186047,1.5503875969,0.0
A0A093UWB1,1,0.0,3.87596899225,96.1240310078,0.0,0.0
A0A093UXC7,1,0.0,1.5503875969,96.8992248062,1.5503875969,0.0
A0A093VCZ3,1,0.0,15.503875969,83.7209302326,0.77519379845,0.0
A0A093XUX6,1,0.77519379845,11.6279069767,87.5968992248,0.0,0.0
A0A093YDH3,1,0.0,6.97674418605,93.023255814,0.0,0.0
A0A093ZNK5,1,0.0,6.2015503876,93.7984496124,0.0,0.0
A0A094A2N3,1,0.77519379845,10.0775193798,89.1472868217,0.0,0.0
A0A094AZE0,1,0.0,13.1782945736,86.8217054264,0.0,0.0
A0A094BIP1,1,4.6511627907,24.8062015504,69.7674418605,0.77519379845,0.0
A0A094BRR2,1,0.0,3.1007751938,95.3488372093,1.5503875969,0.0
A0A094C7N6,1,0.0,0.77519379845,98.4496124031,0.0,0.77519379845
A0A094DER7,1,0.0,9.3023255814,89.9224806202,0.77519379845,0.0
A0A094DVK9,1,0.0,6.2015503876,93.7984496124,0.0,0.0
A0A094EPD6,1,0.0,5.42635658915,94.5736434109,0.0,0.0
A0A094GC52,1,1.5503875969,24.8062015504,73.6434108527,0.0,0.0
A0A094I4F9,1,0.77519379845,7.7519379845,90.6976744186,0.77519379845,0.0
