indexSequence,classCeratoP,classCeratoU,classH2,classH1
EQK99175.1,1,0,1,1
WP_003242255.1,1,0,1,1
CAM91368.2,1,0,1,1
AAR87725.1,1,0,1,1
AQA29547.1,1,0,1,1
EEH05946.1,1,0,1,1
TAI50698.1,1,0,1,1
CDP27081.1,1,0,1,1
KPA38380.1,1,0,1,1
O60001,1,0,1,1
RZR67327.1,1,0,1,1
OTA69595.1,1,0,1,1
OLP66352.1,1,0,1,1
WP_083696842.1,1,0,1,1
XP_028496519.1,1,0,1,1
AWT58092.1,1,0,1,1
WP_041056044.1,1,0,1,1
B9DQZ9,1,0,1,1
A0A067PDQ2,1,0,1,1
M2QVV1,1,0,1,1
RZV65082.1,1,0,1,1
KIJ48245.1,1,0,1,1
ABE27987.1,1,0,1,1
D8PU87,1,0,1,1
tr|A0A439D588|A0A439D588_9PEZI,1,0,1,1
A0A317WAY1,1,0,1,1
B0DG18,1,0,1,1
AKL86784.1,1,0,1,1
A9X657,1,0,1,1
A0A0A7H9E0,1,0,1,1
KJZ71863.1,1,0,1,1
O59999,1,0,1,1
