indexSequence
A8WN62|reviewed|Tubby
B0WI30|reviewed|Protein
B0XFQ9|reviewed|Protein
B3MDU3|reviewed|Protein
B3NJY0|reviewed|Protein
B4H4X0|reviewed|Protein
B4I7J9|reviewed|Protein
B4J6R7|reviewed|Protein
B4KNA9|reviewed|Protein
B4LMR9|reviewed|Protein
B4MKC7|reviewed|Protein
B4P9H8|reviewed|Protein
B4QFM2|reviewed|Protein
O75386|reviewed|Tubby-related
O80699|reviewed|Putative
O88413|reviewed|Tubby-related
O88808|reviewed|Tubby
P50586|reviewed|Tubby
P50607|reviewed|Tubby
Q09306|reviewed|Tubby
Q0WPY0|reviewed|Tubby-like
Q10LG8|reviewed|Tubby-like
Q16IR1|reviewed|Protein
Q16KI5|reviewed|Protein
Q28X18|reviewed|Protein
Q2QXB2|reviewed|Tubby-like
Q53PP5|reviewed|Tubby-like
Q5QM27|reviewed|Tubby-like
Q688Y7|reviewed|Tubby-like
Q68Y48|reviewed|Tubby-like
Q69U54|reviewed|Tubby-like
Q6ETL2|reviewed|Tubby-like
Q6NPQ1|reviewed|Tubby-like
Q6Z2G9|reviewed|Tubby-like
Q75HX5|reviewed|Tubby-like
Q7PZK5|reviewed|Protein
Q7XSV4|reviewed|Tubby-like
Q86PC9|reviewed|Protein
Q8GVE5|reviewed|Tubby-like
Q8H485|reviewed|Tubby-like
Q8LJA9|reviewed|Tubby-like
Q8VY21|reviewed|Tubby-like
Q93VI8|reviewed|Tubby-like
Q944S3|reviewed|Tubby-like
Q94DT9|reviewed|Tubby-like
Q9FRH7|reviewed|Tubby-like
Q9S9M8|reviewed|Tubby-like
Q9SQU1|reviewed|Tubby-like
Q9ZP59|reviewed|Tubby-like
