indexSequence
A0A024RBG1|reviewed|Diphosphoinositol
A0K4B3|reviewed|RNA
A0KG29|reviewed|RNA
A0KZP9|reviewed|RNA
A1A4Q9|reviewed|U8
A1AA28|reviewed|Phosphatase
A1ABY1|reviewed|Uncharacterized
A1ADA3|reviewed|Nucleoside
A1ADX2|reviewed|GDP-mannose
A1AF79|reviewed|Isopentenyl-diphosphate
A1AIG7|reviewed|NADH
A1AX38|reviewed|RNA
A1B502|reviewed|RNA
A1JIJ0|reviewed|NADH
A1JL31|reviewed|GDP-mannose
A1JMC0|reviewed|Uncharacterized
A1JPE1|reviewed|RNA
A1K975|reviewed|RNA
A1KJG2|reviewed|Isopentenyl-diphosphate
A1KNJ7|reviewed|NADH
A1KV92|reviewed|RNA
A1R1M6|reviewed|Isopentenyl-diphosphate
A1RME4|reviewed|RNA
A1SS92|reviewed|RNA
A1T5G2|reviewed|Isopentenyl-diphosphate
A1TTD1|reviewed|RNA
A1TYU2|reviewed|RNA
A1V0N7|reviewed|RNA
A1VK87|reviewed|RNA
A1VYU1|reviewed|RNA
A1W4B2|reviewed|RNA
A1WKI2|reviewed|RNA
A1WVE9|reviewed|RNA
A1WXH5|reviewed|Isopentenyl-diphosphate
A2S5R4|reviewed|RNA
A2SD39|reviewed|RNA
A2VE79|reviewed|Diphosphoinositol
A3D1T9|reviewed|RNA
A3M1S5|reviewed|RNA
A3MR94|reviewed|RNA
A3N3J1|reviewed|RNA
A3NDS3|reviewed|RNA
A3NZI7|reviewed|RNA
A3PL07|reviewed|Isopentenyl-diphosphate
A3PMX6|reviewed|RNA
A3QBR1|reviewed|RNA
A4FK76|reviewed|Isopentenyl-diphosphate
A4FUG7|reviewed|Nucleoside
A4G8R1|reviewed|RNA
A4IWB3|reviewed|RNA
A4JBC1|reviewed|RNA
A4QG13|reviewed|Isopentenyl-diphosphate
A4SIW4|reviewed|RNA
A4SVA6|reviewed|RNA
A4TKD0|reviewed|Uncharacterized
A4TLC8|reviewed|RNA
A4TMK5|reviewed|GDP-mannose
A4TS22|reviewed|NADH
A4VGL4|reviewed|RNA
A4VLQ5|reviewed|NADH
A4W5B9|reviewed|NADH
A4WBH1|reviewed|Uncharacterized
A4WD46|reviewed|GDP-mannose
A4WDK7|reviewed|Nucleoside
A4WE06|reviewed|RNA
A4WE41|reviewed|Isopentenyl-diphosphate
A4WRA6|reviewed|Isopentenyl-diphosphate
A4WWV6|reviewed|RNA
A4Y049|reviewed|RNA
A4Y4I7|reviewed|RNA
A4YKE4|reviewed|RNA
A5CD16|reviewed|RNA
A5CV36|reviewed|Isopentenyl-diphosphate
A5E954|reviewed|RNA
A5F3M9|reviewed|NADH
A5FWY8|reviewed|RNA
A5II45|reviewed|RNA
