indexSequence,HydrophobicZ1,HydrophobicZ2,HydrophobicZ3,HydrophobicZ4,HydrophobicZ5,HydrophobicityZ1,HydrophobicityZ2,HydrophobicityZ3,HydrophobicityZ4,HydrophobicityZ5,HydrophilicityZ1,HydrophilicityZ2,HydrophilicityZ3,HydrophilicityZ4,HydrophilicityZ5
CHR-1-Sequence-1,2.72373540856,18.6770428016,77.0428015564,1.55642023346,0.0,1.55642023346,12.4513618677,84.046692607,1.55642023346,0.389105058366,2.72373540856,18.6770428016,77.0428015564,1.55642023346,0.0
CHR-1-Sequence-2,3.50194552529,27.626459144,68.8715953307,0.0,0.0,3.89105058366,20.233463035,75.486381323,0.389105058366,0.0,7.39299610895,30.3501945525,61.4785992218,0.778210116732,0.0
CHR-1-Sequence-5,11.2840466926,25.2918287938,63.0350194553,0.389105058366,0.0,10.5058365759,24.1245136187,64.9805447471,0.389105058366,0.0,7.00389105058,38.1322957198,54.8638132296,0.0,0.0
CHR-1-Sequence-6,12.0622568093,22.9571984436,63.813229572,1.1673151751,0.0,10.8949416342,26.0700389105,62.2568093385,0.389105058366,0.389105058366,10.1167315175,31.1284046693,58.7548638132,0.0,0.0
CHR-1-Sequence-7,0.389105058366,19.0661478599,80.1556420233,0.389105058366,0.0,0.389105058366,10.8949416342,87.9377431907,0.778210116732,0.0,0.0,23.3463035019,76.2645914397,0.389105058366,0.0
CHR-1-Sequence-8,13.6186770428,33.0739299611,52.9182879377,0.389105058366,0.0,10.5058365759,26.8482490272,60.7003891051,1.55642023346,0.389105058366,16.7315175097,34.2412451362,49.0272373541,0.0,0.0
CHR-1-Sequence-9,4.28015564202,29.1828793774,66.1478599222,0.389105058366,0.0,3.50194552529,19.4552529183,77.0428015564,0.0,0.0,6.22568093385,33.0739299611,60.3112840467,0.389105058366,0.0
CHR-1-Sequence-10,0.0,3.11284046693,95.719844358,1.1673151751,0.0,0.0,1.94552529183,97.2762645914,0.778210116732,0.0,0.0,1.94552529183,97.2762645914,0.778210116732,0.0
CHR-1-Sequence-11,8.94941634241,24.9027237354,65.3696498054,0.778210116732,0.0,8.94941634241,28.4046692607,62.2568093385,0.389105058366,0.0,7.00389105058,29.9610894942,63.0350194553,0.0,0.0
CHR-1-Sequence-12,4.28015564202,26.8482490272,68.4824902724,0.0,0.389105058366,2.33463035019,22.9571984436,74.7081712062,0.0,0.0,5.05836575875,29.9610894942,64.2023346304,0.778210116732,0.0
