indexSequence,classCeratoP,classCeratoU,classH2,classH1
WP_132221400.1,1,0,0,1
KHO10766.1,1,0,0,1
XP_001597020.1,1,0,0,1
ABV62292.1,1,0,0,1
OXM82700.1,1,0,0,1
OAA74512.1,1,0,0,1
WP_008360418.1,1,0,0,1
A0A2P2HMW0,1,0,0,1
KXT00963.1,1,0,0,1
XP_003717406.1,1,0,0,1
WP_058906425.1,1,0,0,1
WP_069449082.1,1,0,0,1
WP_014478326.1,1,0,0,1
gi|1736727141|gb|KAA1079130.1|,1,0,0,1
OCH87277.1,1,0,0,1
OME30341.1,1,0,0,1
A0A0A2K7M3,1,0,0,1
R7S5T3,1,0,0,1
A0A401GTZ5,1,0,0,1
AUJ76278.1,1,0,0,1
WP_026092324.1,1,0,0,1
RPD68810.1,1,0,0,1
GAW11941.1,1,0,0,1
XP_003845467.1,1,0,0,1
A9X625,1,0,0,1
KKY29912.1,1,0,0,1
OMD80026.1,1,0,0,1
KWX89001.1,1,0,0,1
OHW98312.1,1,0,0,1
R9AI23,1,0,0,1
OAA33284.1,1,0,0,1
OOO14553.1,1,0,0,1
A0A0C3J917,1,0,0,1
KDR66716.1,1,0,0,1
KIM39641.1,1,0,0,1
OMD75116.1,1,0,0,1
AAC44367.1,1,0,0,1
XP_013951012.1,1,0,0,1
RKL33547.1,1,0,0,1
Q9HGW9,1,0,0,1
KXS98704.1,1,0,0,1
AAY89101.1,1,0,0,1
XP_018139353.1,1,0,0,1
PVG00406.1,1,0,0,1
RAQ47087.1,1,0,0,1
A0A0D0CFQ4,1,0,0,1
A0A2I2GDK4,1,0,0,1
SMQ48205.1,1,0,0,1
XP_018702514.1,1,0,0,1
A0A409VW27,1,0,0,1
RKL16582.1,1,0,0,1
XP_013948292.1,1,0,0,1
E2LGM6,1,0,0,1
QBZ61661.1,1,0,0,1
GAD96731.1,1,0,0,1
A0A2I2FE54,1,0,0,1
RFU31451.1,1,0,0,1
XP_013953949.1,1,0,0,1
KNE76159.1,1,0,0,1
APD13840.1,1,0,0,1
AED75220.1,1,0,0,1
GAW20971.1,1,0,0,1
RKP02789.1,1,0,0,1
KEQ63735.1,1,0,0,1
OAA34701.1,1,0,0,1
AAT92283.1,1,0,0,1
OTA53338.1,1,0,0,1
XP_007878510.1,1,0,0,1
XP_016211323.1,1,0,0,1
SMR46753.1,1,0,0,1
WP_023856952.1,1,0,0,1
GAW13819.1,1,0,0,1
SCO80550.1,1,0,0,1
A0A2C6A4T5,1,0,0,1
A9X646,1,0,0,1
OMD60708.1,1,0,0,1
XP_011118375.1,1,0,0,1
B9DQW1,1,0,0,1
TDI93840.1,1,0,0,1
AAC13501.1,1,0,0,1
tr|A0A1L9N242|A0A1L9N242_ASPTC,1,0,0,1
A9X659,1,0,0,1
A9X658,1,0,0,1
A9X656,1,0,0,1
A0A0C9UE37,1,0,0,1
QBQ45832.1,1,0,0,1
OME10934.1,1,0,0,1
tr|A0A2C5ZFI3|A0A2C5ZFI3_9HYPO,1,0,0,1
WP_077735989.1,1,0,0,1
A0A2H3IXJ8,1,0,0,1
sp|Q4WRY5.1|LAEA_ASPFU,1,0,0,1
A0A2R6QEE4,1,0,0,1
AJO29799.1,1,0,0,1
PSN73566.1,1,0,0,1
RDI87268.1,1,0,0,1
AAC13506.2,1,0,0,1
