indexSequence,HydrophobicityZ1,HydrophobicityZ2,HydrophobicityZ3,HydrophobicityZ4,HydrophobicityZ5,HydrophobicZ1,HydrophobicZ2,HydrophobicZ3,HydrophobicZ4,HydrophobicZ5,HydrophilicityZ1,HydrophilicityZ2,HydrophilicityZ3,HydrophilicityZ4,HydrophilicityZ5
CHR-1-Sequence-8,1.5503875969,15.503875969,82.1705426357,0.77519379845,0.0,4.6511627907,22.480620155,72.0930232558,0.77519379845,0.0,8.52713178295,35.6589147287,55.0387596899,0.77519379845,0.0
CHR-1-Sequence-11,0.0,3.87596899225,96.1240310078,0.0,0.0,0.0,5.42635658915,93.023255814,1.5503875969,0.0,0.0,19.3798449612,80.6201550388,0.0,0.0
CHR-1-Sequence-13,0.0,7.7519379845,92.2480620155,0.0,0.0,0.0,9.3023255814,89.9224806202,0.77519379845,0.0,0.77519379845,18.6046511628,78.2945736434,2.32558139535,0.0
CHR-1-Sequence-18,0.0,23.2558139535,75.9689922481,0.0,0.77519379845,4.6511627907,29.4573643411,65.1162790698,0.77519379845,0.0,10.0775193798,33.3333333333,55.8139534884,0.77519379845,0.0
CHR-1-Sequence-24,0.0,1.5503875969,98.4496124031,0.0,0.0,0.0,3.1007751938,94.5736434109,1.5503875969,0.77519379845,0.77519379845,12.4031007752,86.8217054264,0.0,0.0
CHR-1-Sequence-26,0.0,9.3023255814,90.6976744186,0.0,0.0,1.5503875969,13.9534883721,82.9457364341,1.5503875969,0.0,2.32558139535,28.6821705426,68.2170542636,0.77519379845,0.0
CHR-1-Sequence-43,0.0,3.87596899225,96.1240310078,0.0,0.0,0.77519379845,14.7286821705,82.1705426357,2.32558139535,0.0,1.5503875969,26.3565891473,72.0930232558,0.0,0.0
CHR-1-Sequence-45,1.5503875969,17.0542635659,79.8449612403,1.5503875969,0.0,3.1007751938,21.7054263566,74.4186046512,0.77519379845,0.0,6.2015503876,32.5581395349,59.6899224806,1.5503875969,0.0
CHR-1-Sequence-70,0.0,3.87596899225,96.1240310078,0.0,0.0,0.0,7.7519379845,91.4728682171,0.77519379845,0.0,0.0,18.6046511628,80.6201550388,0.77519379845,0.0
CHR-1-Sequence-83,0.77519379845,15.503875969,82.1705426357,1.5503875969,0.0,3.1007751938,25.5813953488,70.5426356589,0.77519379845,0.0,8.52713178295,42.6356589147,48.8372093023,0.0,0.0
CHR-1-Sequence-91,0.0,1.5503875969,98.4496124031,0.0,0.0,0.0,8.52713178295,89.9224806202,1.5503875969,0.0,0.0,14.7286821705,84.496124031,0.77519379845,0.0
CHR-1-Sequence-97,0.0,10.0775193798,89.9224806202,0.0,0.0,0.0,17.0542635659,81.3953488372,0.77519379845,0.77519379845,3.1007751938,35.6589147287,61.2403100775,0.0,0.0
CHR-1-Sequence-98,0.77519379845,16.2790697674,82.9457364341,0.0,0.0,1.5503875969,23.2558139535,74.4186046512,0.77519379845,0.0,5.42635658915,33.3333333333,60.4651162791,0.77519379845,0.0
CHR-1-Sequence-105,1.5503875969,24.8062015504,72.8682170543,0.0,0.77519379845,0.77519379845,24.0310077519,74.4186046512,0.77519379845,0.0,6.97674418605,33.3333333333,59.6899224806,0.0,0.0
CHR-1-Sequence-116,0.77519379845,11.6279069767,87.5968992248,0.0,0.0,0.77519379845,13.9534883721,85.2713178295,0.0,0.0,3.1007751938,23.2558139535,72.0930232558,1.5503875969,0.0
CHR-1-Sequence-121,0.0,6.97674418605,93.023255814,0.0,0.0,0.0,12.4031007752,86.8217054264,0.77519379845,0.0,0.77519379845,20.1550387597,78.2945736434,0.77519379845,0.0
CHR-1-Sequence-122,1.5503875969,25.5813953488,72.0930232558,0.0,0.77519379845,3.87596899225,31.7829457364,62.7906976744,1.5503875969,0.0,3.1007751938,44.1860465116,52.7131782946,0.0,0.0
CHR-1-Sequence-123,1.5503875969,17.8294573643,79.0697674419,0.77519379845,0.77519379845,5.42635658915,27.9069767442,65.1162790698,1.5503875969,0.0,13.9534883721,34.8837209302,50.3875968992,0.77519379845,0.0
CHR-1-Sequence-141,0.0,4.6511627907,93.023255814,2.32558139535,0.0,0.0,10.0775193798,86.8217054264,2.32558139535,0.77519379845,1.5503875969,18.6046511628,79.8449612403,0.0,0.0
CHR-1-Sequence-142,0.77519379845,18.6046511628,79.8449612403,0.77519379845,0.0,1.5503875969,20.9302325581,76.7441860465,0.77519379845,0.0,7.7519379845,29.4573643411,62.7906976744,0.0,0.0
CHR-1-Sequence-147,0.77519379845,10.0775193798,88.3720930233,0.0,0.77519379845,0.77519379845,12.4031007752,84.496124031,0.77519379845,1.5503875969,5.42635658915,35.6589147287,58.9147286822,0.0,0.0
CHR-1-Sequence-157,0.0,3.87596899225,93.7984496124,2.32558139535,0.0,0.0,3.87596899225,94.5736434109,0.77519379845,0.77519379845,0.0,15.503875969,84.496124031,0.0,0.0
CHR-1-Sequence-166,0.77519379845,5.42635658915,92.2480620155,1.5503875969,0.0,0.0,4.6511627907,93.7984496124,1.5503875969,0.0,0.0,6.2015503876,93.023255814,0.77519379845,0.0
CHR-1-Sequence-172,2.32558139535,20.9302325581,75.9689922481,0.77519379845,0.0,1.5503875969,19.3798449612,78.2945736434,0.77519379845,0.0,3.1007751938,30.2325581395,65.8914728682,0.77519379845,0.0
CHR-1-Sequence-199,0.0,8.52713178295,89.9224806202,1.5503875969,0.0,0.0,16.2790697674,81.3953488372,1.5503875969,0.77519379845,3.87596899225,30.2325581395,65.8914728682,0.0,0.0
CHR-1-Sequence-202,3.1007751938,27.1317829457,68.992248062,0.77519379845,0.0,3.87596899225,20.9302325581,74.4186046512,0.77519379845,0.0,4.6511627907,33.3333333333,62.015503876,0.0,0.0
CHR-1-Sequence-214,3.1007751938,19.3798449612,76.7441860465,0.77519379845,0.0,4.6511627907,22.480620155,70.5426356589,2.32558139535,0.0,12.4031007752,27.9069767442,59.6899224806,0.0,0.0
CHR-1-Sequence-216,0.0,14.7286821705,85.2713178295,0.0,0.0,0.77519379845,16.2790697674,82.1705426357,0.77519379845,0.0,6.2015503876,27.9069767442,65.8914728682,0.0,0.0
CHR-1-Sequence-221,0.0,13.1782945736,86.0465116279,0.77519379845,0.0,1.5503875969,18.6046511628,79.0697674419,0.77519379845,0.0,6.2015503876,30.2325581395,63.5658914729,0.0,0.0
CHR-1-Sequence-222,3.1007751938,16.2790697674,79.8449612403,0.0,0.77519379845,4.6511627907,24.0310077519,69.7674418605,1.5503875969,0.0,5.42635658915,37.984496124,56.5891472868,0.0,0.0
CHR-1-Sequence-226,0.0,3.87596899225,95.3488372093,0.77519379845,0.0,0.0,10.8527131783,87.5968992248,1.5503875969,0.0,0.77519379845,22.480620155,76.7441860465,0.0,0.0
CHR-1-Sequence-227,0.0,18.6046511628,81.3953488372,0.0,0.0,0.77519379845,19.3798449612,79.0697674419,0.77519379845,0.0,6.2015503876,27.9069767442,65.8914728682,0.0,0.0
CHR-1-Sequence-240,0.77519379845,13.1782945736,85.2713178295,0.77519379845,0.0,1.5503875969,14.7286821705,83.7209302326,0.0,0.0,0.77519379845,16.2790697674,82.9457364341,0.0,0.0
CHR-1-Sequence-247,0.0,20.9302325581,78.2945736434,0.77519379845,0.0,3.1007751938,21.7054263566,73.6434108527,1.5503875969,0.0,12.4031007752,32.5581395349,55.0387596899,0.0,0.0
CHR-1-Sequence-255,0.77519379845,13.9534883721,83.7209302326,1.5503875969,0.0,0.0,10.0775193798,86.0465116279,3.87596899225,0.0,0.0,10.0775193798,89.1472868217,0.77519379845,0.0
CHR-1-Sequence-258,2.32558139535,20.9302325581,75.9689922481,0.77519379845,0.0,5.42635658915,22.480620155,71.3178294574,0.77519379845,0.0,8.52713178295,27.1317829457,64.3410852713,0.0,0.0
CHR-1-Sequence-264,0.77519379845,3.87596899225,95.3488372093,0.0,0.0,1.5503875969,3.87596899225,94.5736434109,0.0,0.0,0.77519379845,16.2790697674,82.9457364341,0.0,0.0
CHR-1-Sequence-265,1.5503875969,20.9302325581,76.7441860465,0.77519379845,0.0,2.32558139535,24.8062015504,72.0930232558,0.77519379845,0.0,4.6511627907,34.8837209302,60.4651162791,0.0,0.0
CHR-1-Sequence-266,2.32558139535,27.9069767442,68.992248062,0.77519379845,0.0,8.52713178295,20.9302325581,69.7674418605,0.77519379845,0.0,8.52713178295,25.5813953488,65.8914728682,0.0,0.0
CHR-1-Sequence-268,0.77519379845,10.8527131783,87.5968992248,0.77519379845,0.0,0.0,11.6279069767,87.5968992248,0.77519379845,0.0,0.77519379845,25.5813953488,73.6434108527,0.0,0.0
CHR-1-Sequence-269,0.77519379845,15.503875969,83.7209302326,0.0,0.0,0.77519379845,13.9534883721,85.2713178295,0.0,0.0,0.0,20.9302325581,79.0697674419,0.0,0.0
CHR-1-Sequence-280,1.5503875969,9.3023255814,88.3720930233,0.77519379845,0.0,0.77519379845,6.97674418605,89.9224806202,2.32558139535,0.0,2.32558139535,20.9302325581,75.1937984496,1.5503875969,0.0
CHR-1-Sequence-308,0.77519379845,21.7054263566,75.9689922481,0.77519379845,0.77519379845,3.1007751938,29.4573643411,66.6666666667,0.77519379845,0.0,6.97674418605,37.2093023256,55.8139534884,0.0,0.0
CHR-1-Sequence-309,3.1007751938,10.8527131783,85.2713178295,0.77519379845,0.0,3.1007751938,17.0542635659,79.8449612403,0.0,0.0,8.52713178295,27.1317829457,63.5658914729,0.77519379845,0.0
CHR-1-Sequence-310,0.0,18.6046511628,80.6201550388,0.77519379845,0.0,3.1007751938,11.6279069767,85.2713178295,0.0,0.0,5.42635658915,35.6589147287,58.1395348837,0.77519379845,0.0
CHR-1-Sequence-311,0.0,13.9534883721,85.2713178295,0.77519379845,0.0,0.0,12.4031007752,86.8217054264,0.77519379845,0.0,0.0,18.6046511628,81.3953488372,0.0,0.0
CHR-1-Sequence-318,0.77519379845,8.52713178295,89.1472868217,1.5503875969,0.0,0.0,12.4031007752,86.0465116279,1.5503875969,0.0,1.5503875969,28.6821705426,68.992248062,0.77519379845,0.0
CHR-1-Sequence-319,0.0,0.77519379845,96.1240310078,3.1007751938,0.0,0.0,1.5503875969,96.8992248062,0.77519379845,0.77519379845,0.0,9.3023255814,89.9224806202,0.77519379845,0.0
CHR-1-Sequence-345,0.0,3.87596899225,95.3488372093,0.77519379845,0.0,0.0,7.7519379845,92.2480620155,0.0,0.0,0.77519379845,17.8294573643,80.6201550388,0.77519379845,0.0
CHR-1-Sequence-363,0.0,11.6279069767,88.3720930233,0.0,0.0,0.0,8.52713178295,90.6976744186,0.77519379845,0.0,1.5503875969,10.0775193798,88.3720930233,0.0,0.0
CHR-1-Sequence-366,0.0,19.3798449612,79.0697674419,0.77519379845,0.77519379845,6.2015503876,18.6046511628,74.4186046512,0.77519379845,0.0,7.7519379845,32.5581395349,59.6899224806,0.0,0.0
CHR-1-Sequence-367,0.0,14.7286821705,85.2713178295,0.0,0.0,0.77519379845,22.480620155,74.4186046512,2.32558139535,0.0,3.87596899225,32.5581395349,61.2403100775,2.32558139535,0.0
CHR-1-Sequence-373,0.0,16.2790697674,83.7209302326,0.0,0.0,0.77519379845,25.5813953488,71.3178294574,2.32558139535,0.0,3.87596899225,33.3333333333,61.2403100775,1.5503875969,0.0
CHR-1-Sequence-375,0.0,17.0542635659,82.9457364341,0.0,0.0,0.77519379845,18.6046511628,80.6201550388,0.0,0.0,0.0,26.3565891473,73.6434108527,0.0,0.0
CHR-1-Sequence-385,1.5503875969,17.0542635659,80.6201550388,0.77519379845,0.0,1.5503875969,27.1317829457,70.5426356589,0.77519379845,0.0,6.2015503876,37.984496124,55.8139534884,0.0,0.0
CHR-1-Sequence-386,0.77519379845,21.7054263566,76.7441860465,0.77519379845,0.0,0.0,15.503875969,83.7209302326,0.77519379845,0.0,0.77519379845,19.3798449612,79.8449612403,0.0,0.0
CHR-1-Sequence-387,0.77519379845,18.6046511628,80.6201550388,0.0,0.0,5.42635658915,22.480620155,71.3178294574,0.77519379845,0.0,10.8527131783,28.6821705426,60.4651162791,0.0,0.0
CHR-1-Sequence-391,1.5503875969,13.9534883721,82.9457364341,1.5503875969,0.0,4.6511627907,22.480620155,72.0930232558,0.77519379845,0.0,7.7519379845,29.4573643411,62.7906976744,0.0,0.0
CHR-1-Sequence-394,0.0,10.8527131783,88.3720930233,0.77519379845,0.0,2.32558139535,24.0310077519,73.6434108527,0.0,0.0,9.3023255814,26.3565891473,63.5658914729,0.77519379845,0.0
CHR-1-Sequence-396,0.0,16.2790697674,82.1705426357,0.77519379845,0.77519379845,4.6511627907,17.0542635659,77.519379845,0.77519379845,0.0,5.42635658915,23.2558139535,71.3178294574,0.0,0.0
CHR-1-Sequence-409,0.0,10.8527131783,87.5968992248,1.5503875969,0.0,3.1007751938,21.7054263566,74.4186046512,0.0,0.77519379845,11.6279069767,32.5581395349,55.8139534884,0.0,0.0
CHR-1-Sequence-412,0.0,0.0,99.2248062016,0.77519379845,0.0,0.0,3.1007751938,95.3488372093,0.77519379845,0.77519379845,0.0,16.2790697674,83.7209302326,0.0,0.0
CHR-1-Sequence-413,0.77519379845,8.52713178295,89.1472868217,0.77519379845,0.77519379845,1.5503875969,14.7286821705,82.1705426357,0.77519379845,0.77519379845,10.0775193798,32.5581395349,56.5891472868,0.77519379845,0.0
CHR-1-Sequence-414,2.32558139535,19.3798449612,77.519379845,0.0,0.77519379845,0.77519379845,21.7054263566,77.519379845,0.0,0.0,3.1007751938,25.5813953488,71.3178294574,0.0,0.0
CHR-1-Sequence-420,0.77519379845,16.2790697674,82.9457364341,0.0,0.0,0.0,22.480620155,77.519379845,0.0,0.0,2.32558139535,34.1085271318,63.5658914729,0.0,0.0
CHR-1-Sequence-426,0.0,13.9534883721,86.0465116279,0.0,0.0,3.1007751938,19.3798449612,77.519379845,0.0,0.0,10.0775193798,34.8837209302,55.0387596899,0.0,0.0
CHR-1-Sequence-428,1.5503875969,19.3798449612,78.2945736434,0.77519379845,0.0,1.5503875969,27.1317829457,70.5426356589,0.77519379845,0.0,9.3023255814,29.4573643411,59.6899224806,1.5503875969,0.0
CHR-1-Sequence-429,0.0,6.97674418605,92.2480620155,0.77519379845,0.0,0.0,10.0775193798,88.3720930233,1.5503875969,0.0,0.0,15.503875969,84.496124031,0.0,0.0
CHR-1-Sequence-432,2.32558139535,27.1317829457,69.7674418605,0.77519379845,0.0,3.1007751938,20.9302325581,75.1937984496,0.77519379845,0.0,5.42635658915,26.3565891473,68.2170542636,0.0,0.0
CHR-1-Sequence-449,2.32558139535,24.8062015504,72.0930232558,0.0,0.77519379845,4.6511627907,20.1550387597,74.4186046512,0.77519379845,0.0,7.7519379845,24.8062015504,66.6666666667,0.77519379845,0.0
CHR-1-Sequence-456,1.5503875969,22.480620155,74.4186046512,0.77519379845,0.77519379845,3.87596899225,27.9069767442,65.1162790698,3.1007751938,0.0,6.2015503876,44.9612403101,48.0620155039,0.77519379845,0.0
CHR-1-Sequence-460,0.0,9.3023255814,89.9224806202,0.77519379845,0.0,1.5503875969,12.4031007752,84.496124031,1.5503875969,0.0,3.87596899225,21.7054263566,74.4186046512,0.0,0.0
CHR-1-Sequence-461,0.0,10.0775193798,89.9224806202,0.0,0.0,0.0,8.52713178295,90.6976744186,0.0,0.77519379845,3.1007751938,16.2790697674,80.6201550388,0.0,0.0
CHR-1-Sequence-463,2.32558139535,13.1782945736,84.496124031,0.0,0.0,1.5503875969,20.1550387597,77.519379845,0.77519379845,0.0,3.87596899225,26.3565891473,69.7674418605,0.0,0.0
CHR-1-Sequence-472,0.0,0.0,99.2248062016,0.77519379845,0.0,0.0,1.5503875969,96.1240310078,1.5503875969,0.77519379845,0.0,8.52713178295,91.4728682171,0.0,0.0
CHR-1-Sequence-473,0.0,0.77519379845,97.6744186047,1.5503875969,0.0,0.77519379845,3.1007751938,93.7984496124,1.5503875969,0.77519379845,2.32558139535,18.6046511628,79.0697674419,0.0,0.0
CHR-1-Sequence-495,0.0,0.0,100.0,0.0,0.0,0.77519379845,3.87596899225,93.023255814,1.5503875969,0.77519379845,3.87596899225,17.0542635659,79.0697674419,0.0,0.0
CHR-1-Sequence-496,0.0,3.1007751938,96.8992248062,0.0,0.0,0.0,10.0775193798,87.5968992248,1.5503875969,0.77519379845,1.5503875969,26.3565891473,71.3178294574,0.77519379845,0.0
CHR-1-Sequence-502,0.0,6.2015503876,93.023255814,0.77519379845,0.0,0.77519379845,14.7286821705,84.496124031,0.0,0.0,3.87596899225,23.2558139535,72.8682170543,0.0,0.0
CHR-1-Sequence-503,0.77519379845,17.8294573643,80.6201550388,0.0,0.77519379845,0.77519379845,14.7286821705,82.9457364341,1.5503875969,0.0,2.32558139535,23.2558139535,73.6434108527,0.77519379845,0.0
CHR-1-Sequence-506,2.32558139535,17.0542635659,79.8449612403,0.77519379845,0.0,3.87596899225,19.3798449612,74.4186046512,2.32558139535,0.0,6.97674418605,31.7829457364,61.2403100775,0.0,0.0
CHR-1-Sequence-508,1.5503875969,12.4031007752,85.2713178295,0.77519379845,0.0,3.87596899225,20.9302325581,75.1937984496,0.0,0.0,5.42635658915,32.5581395349,61.2403100775,0.77519379845,0.0
CHR-1-Sequence-514,0.0,4.6511627907,95.3488372093,0.0,0.0,0.0,9.3023255814,89.1472868217,1.5503875969,0.0,0.77519379845,17.0542635659,81.3953488372,0.77519379845,0.0
CHR-1-Sequence-526,0.77519379845,7.7519379845,91.4728682171,0.0,0.0,1.5503875969,8.52713178295,89.1472868217,0.77519379845,0.0,2.32558139535,17.8294573643,79.0697674419,0.77519379845,0.0
CHR-1-Sequence-559,3.1007751938,16.2790697674,79.8449612403,0.77519379845,0.0,1.5503875969,24.8062015504,72.8682170543,0.77519379845,0.0,4.6511627907,31.007751938,63.5658914729,0.77519379845,0.0
CHR-1-Sequence-560,1.5503875969,14.7286821705,82.9457364341,0.77519379845,0.0,2.32558139535,17.8294573643,78.2945736434,1.5503875969,0.0,6.97674418605,34.8837209302,57.3643410853,0.77519379845,0.0
CHR-1-Sequence-565,1.5503875969,14.7286821705,82.1705426357,1.5503875969,0.0,2.32558139535,20.9302325581,75.1937984496,1.5503875969,0.0,6.97674418605,34.1085271318,58.9147286822,0.0,0.0
CHR-1-Sequence-570,1.5503875969,19.3798449612,79.0697674419,0.0,0.0,2.32558139535,17.0542635659,79.8449612403,0.0,0.77519379845,4.6511627907,29.4573643411,65.1162790698,0.77519379845,0.0
CHR-1-Sequence-590,0.0,1.5503875969,98.4496124031,0.0,0.0,0.0,2.32558139535,96.1240310078,0.77519379845,0.77519379845,0.0,17.0542635659,82.9457364341,0.0,0.0
CHR-1-Sequence-591,0.0,7.7519379845,91.4728682171,0.77519379845,0.0,0.0,10.8527131783,89.1472868217,0.0,0.0,1.5503875969,25.5813953488,72.8682170543,0.0,0.0
CHR-1-Sequence-613,0.77519379845,6.2015503876,93.023255814,0.0,0.0,0.77519379845,7.7519379845,89.1472868217,1.5503875969,0.77519379845,1.5503875969,18.6046511628,79.8449612403,0.0,0.0
CHR-1-Sequence-635,0.0,13.9534883721,85.2713178295,0.77519379845,0.0,0.77519379845,10.8527131783,87.5968992248,0.0,0.77519379845,2.32558139535,34.8837209302,62.7906976744,0.0,0.0
CHR-1-Sequence-636,4.6511627907,17.0542635659,77.519379845,0.77519379845,0.0,5.42635658915,21.7054263566,72.0930232558,0.77519379845,0.0,10.8527131783,30.2325581395,58.9147286822,0.0,0.0
CHR-1-Sequence-639,0.0,13.1782945736,86.0465116279,0.77519379845,0.0,2.32558139535,17.0542635659,79.0697674419,1.5503875969,0.0,6.2015503876,26.3565891473,67.4418604651,0.0,0.0
CHR-1-Sequence-640,0.0,12.4031007752,87.5968992248,0.0,0.0,1.5503875969,18.6046511628,79.8449612403,0.0,0.0,5.42635658915,30.2325581395,64.3410852713,0.0,0.0
CHR-1-Sequence-653,2.32558139535,25.5813953488,71.3178294574,0.77519379845,0.0,5.42635658915,13.9534883721,79.0697674419,1.5503875969,0.0,4.6511627907,22.480620155,72.0930232558,0.77519379845,0.0
CHR-1-Sequence-654,0.0,13.9534883721,85.2713178295,0.77519379845,0.0,0.77519379845,17.0542635659,81.3953488372,0.77519379845,0.0,2.32558139535,29.4573643411,67.4418604651,0.77519379845,0.0
CHR-1-Sequence-655,0.77519379845,18.6046511628,79.8449612403,0.0,0.77519379845,4.6511627907,20.9302325581,73.6434108527,0.77519379845,0.0,9.3023255814,35.6589147287,54.2635658915,0.77519379845,0.0
CHR-1-Sequence-659,0.0,10.0775193798,89.1472868217,0.77519379845,0.0,0.0,16.2790697674,82.1705426357,1.5503875969,0.0,2.32558139535,33.3333333333,64.3410852713,0.0,0.0
CHR-1-Sequence-660,0.0,11.6279069767,87.5968992248,0.77519379845,0.0,1.5503875969,19.3798449612,77.519379845,1.5503875969,0.0,4.6511627907,36.4341085271,58.9147286822,0.0,0.0
CHR-1-Sequence-661,0.77519379845,9.3023255814,89.9224806202,0.0,0.0,3.1007751938,19.3798449612,76.7441860465,0.77519379845,0.0,4.6511627907,37.2093023256,58.1395348837,0.0,0.0
CHR-1-Sequence-664,2.32558139535,6.97674418605,90.6976744186,0.0,0.0,2.32558139535,18.6046511628,78.2945736434,0.77519379845,0.0,4.6511627907,33.3333333333,62.015503876,0.0,0.0
CHR-1-Sequence-671,0.0,12.4031007752,86.8217054264,0.77519379845,0.0,0.77519379845,16.2790697674,82.1705426357,0.77519379845,0.0,3.1007751938,31.007751938,65.8914728682,0.0,0.0
CHR-1-Sequence-681,0.0,3.1007751938,96.8992248062,0.0,0.0,0.0,3.1007751938,95.3488372093,0.77519379845,0.77519379845,0.0,11.6279069767,88.3720930233,0.0,0.0
CHR-1-Sequence-686,0.0,6.97674418605,90.6976744186,2.32558139535,0.0,2.32558139535,9.3023255814,87.5968992248,0.77519379845,0.0,2.32558139535,20.1550387597,76.7441860465,0.77519379845,0.0
CHR-1-Sequence-697,0.0,6.2015503876,93.7984496124,0.0,0.0,0.77519379845,10.8527131783,86.8217054264,1.5503875969,0.0,2.32558139535,20.9302325581,75.1937984496,1.5503875969,0.0
CHR-1-Sequence-701,0.77519379845,10.0775193798,88.3720930233,0.77519379845,0.0,0.77519379845,13.1782945736,83.7209302326,1.5503875969,0.77519379845,3.87596899225,34.1085271318,62.015503876,0.0,0.0
CHR-1-Sequence-702,0.0,18.6046511628,80.6201550388,0.77519379845,0.0,0.77519379845,17.8294573643,80.6201550388,0.77519379845,0.0,2.32558139535,31.007751938,66.6666666667,0.0,0.0
CHR-1-Sequence-703,0.77519379845,17.8294573643,80.6201550388,0.77519379845,0.0,3.1007751938,19.3798449612,75.9689922481,1.5503875969,0.0,6.2015503876,27.1317829457,66.6666666667,0.0,0.0
CHR-1-Sequence-705,0.77519379845,20.9302325581,76.7441860465,0.77519379845,0.77519379845,3.87596899225,27.9069767442,66.6666666667,1.5503875969,0.0,10.8527131783,28.6821705426,59.6899224806,0.77519379845,0.0
CHR-1-Sequence-710,0.0,11.6279069767,86.8217054264,1.5503875969,0.0,0.77519379845,10.8527131783,86.0465116279,2.32558139535,0.0,0.77519379845,19.3798449612,79.0697674419,0.77519379845,0.0
CHR-1-Sequence-716,0.0,14.7286821705,84.496124031,0.77519379845,0.0,3.1007751938,19.3798449612,76.7441860465,0.77519379845,0.0,7.7519379845,26.3565891473,65.8914728682,0.0,0.0
