indexSequence,classCeratoP,classCeratoU,classH2,classH1
RPD71287.1,0,1,1,1
Q2U814,0,1,1,1
AYQ18447.1,0,1,1,1
CAD28405.1,0,1,1,1
K5VPW4,0,1,1,1
I4YAP5,0,1,1,1
WP_075748449.1,0,1,1,1
K5X9J7,0,1,1,1
tr|A0A1L7XR61|A0A1L7XR61_9HELO,0,1,1,1
TFK37348.1,0,1,1,1
Q8TFV8,0,1,1,1
A0A2R6P179,0,1,1,1
K5UND1,0,1,1,1
Q0CES6,0,1,1,1
tr|A0A1B8B5B0|A0A1B8B5B0_FUSPO,0,1,1,1
AQA29541.1,0,1,1,1
Q9P8T0,0,1,1,1
WP_019259799.1,0,1,1,1
KEY82244.1,0,1,1,1
PKS11735.1,0,1,1,1
RPA99696.1,0,1,1,1
A4PEU0,0,1,1,1
WP_072367239.1,0,1,1,1
CVL02611.1,0,1,1,1
A0A2I1DBF6,0,1,1,1
A0A3M7N6X4,0,1,1,1
A8NKF9,0,1,1,1
POS80954.1,0,1,1,1
S7Q3R9,0,1,1,1
Q0CIJ2,0,1,1,1
AWT58094.1,0,1,1,1
RKE76035.1,0,1,1,1
KPM41485.1,0,1,1,1
A0A3M0W9E1,0,1,1,1
G8A522,0,1,1,1
A0A409VZK4,0,1,1,1
pdb|2LFN|A,0,1,1,1
TFK71301.1,0,1,1,1
A0A409WIJ7,0,1,1,1
OTA87779.1,0,1,1,1
Q6J759,0,1,1,1
A0A3F3RB15,0,1,1,1
PSR80018.1,0,1,1,1
AAR87726.1,0,1,1,1
WP_101864219.1,0,1,1,1
KIP11531.1,0,1,1,1
A9X628,0,1,1,1
XP_013940454.1,0,1,1,1
O60000,0,1,1,1
RFU79336.1,0,1,1,1
PWI76786.1,0,1,1,1
A0A369JE88,0,1,1,1
EWG38323.1,0,1,1,1
A0A2H3HZC6,0,1,1,1
TFK37342.1,0,1,1,1
TFK96593.1,0,1,1,1
A0A094GC52,0,1,1,1
tr|L8G7T8|L8G7T8_PSED2,0,1,1,1
A0A067SKW9,0,1,1,1
S7PZV8,0,1,1,1
PWK03606.1,0,1,1,1
A0A395SUU7,0,1,1,1
I8IDD3,0,1,1,1
AWT58093.1,0,1,1,1
RAP13292.1,0,1,1,1
CAM91376.2,0,1,1,1
A0A319BVC0,0,1,1,1
A0A318Y5U9,0,1,1,1
tr|A0A1D1XUQ8|A0A1D1XUQ8_9ARAE,0,1,1,1
RDY83792.1,0,1,1,1
WP_032857151.1,0,1,1,1
XP_022479042.1,0,1,1,1
EPE33037.1,0,1,1,1
AED75221.1,0,1,1,1
XP_013940453.1,0,1,1,1
OLG05772.1,0,1,1,1
M2PIC9,0,1,1,1
XP_028497054.1,0,1,1,1
WP_058013934.1,0,1,1,1
A0A0A2VD56,0,1,1,1
RYO65887.1,0,1,1,1
PMD48616.1,0,1,1,1
OMP85476.1,0,1,1,1
A0A1V6SJH2,0,1,1,1
A0A2N6NP47,0,1,1,1
KUI69349.1,0,1,1,1
WP_099725772.1,0,1,1,1
EKV46315.1,0,1,1,1
A0A409YE93,0,1,1,1
A0A060PWJ7,0,1,1,1
EFQ34930.1,0,1,1,1
A0A317SG86,0,1,1,1
tr|A0A014PJR6|A0A014PJR6_9HYPO,0,1,1,1
A0A2T2NCC7,0,1,1,1
A0A371DWR3,0,1,1,1
QBK80877.1,0,1,1,1
ATV02457.1,0,1,1,1
A0A317SVR4,0,1,1,1
XP_007743709.1,0,1,1,1
A0A2B7ZCN3,0,1,1,1
A0A3N4JN84,0,1,1,1
QBR22005.1,0,1,1,1
B9DQZ3,0,1,1,1
KID93776.1,0,1,1,1
A0A2H3D4S9,0,1,1,1
CZT15874.1,0,1,1,1
GAP88960.1,0,1,1,1
WP_135031727.1,0,1,1,1
KEQ83179.1,0,1,1,1
A0A317WSS4,0,1,1,1
A0A2A9NVI1,0,1,1,1
WP_095844037.1,0,1,1,1
A0A094C7N6,0,1,1,1
A0A2A9NJ49,0,1,1,1
OAA42533.1,0,1,1,1
