indexSequence,classCeratoP,classCeratoU,classH2,classH1
PRS65946.1,1,1,1,0
Q8TFV7,1,1,1,0
A0A3N4JU41,1,1,1,0
EXF79341.1,1,1,1,0
EUC40248.1,1,1,1,0
ROV87124.1,1,1,1,0
PNS21569.1,1,1,1,0
KIJ51859.1,1,1,1,0
RDA91011.1,1,1,1,0
KDR66706.1,1,1,1,0
XP_023432713.1,1,1,1,0
PPJ55360.1,1,1,1,0
tr|A0A1B7N9Z3|A0A1B7N9Z3_9AGAM,1,1,1,0
OMI30774.1,1,1,1,0
V2WJN4,1,1,1,0
KIJ70368.1,1,1,1,0
RMZ69601.1,1,1,1,0
PHH73999.1,1,1,1,0
RBA15506.1,1,1,1,0
CAK96765.1,1,1,1,0
A0A0A7H9C7,1,1,1,0
RBQ79106.1,1,1,1,0
A4PEU3,1,1,1,0
A0A1V6TK23,1,1,1,0
A0A409VU38,1,1,1,0
PPQ82118.1,1,1,1,0
KXH50165.1,1,1,1,0
PQE03066.1,1,1,1,0
XP_003855504.1,1,1,1,0
OTB15827.1,1,1,1,0
GAQ44715.1,1,1,1,0
A0A2I0RLE2,1,1,1,0
KUI69615.1,1,1,1,0
XP_001538426.1,1,1,1,0
CAA03501.1,1,1,1,0
XP_025520592.1,1,1,1,0
EKV46309.1,1,1,1,0
WP_024123256.1,1,1,1,0
tr|A0A1B8DEB8|A0A1B8DEB8_9PEZI,1,1,1,0
WP_105981299.1,1,1,1,0
tr|Q3YED4|Q3YED4_CONVR,1,1,1,0
PNP79793.1,1,1,1,0
OTB00132.1,1,1,1,0
A0A024BKG7,1,1,1,0
OTB01619.1,1,1,1,0
KFK82605.1,1,1,1,0
A8HK08,1,1,1,0
S7RG52,1,1,1,0
RAR09758.1,1,1,1,0
D4QDY1,1,1,1,0
RMJ19962.1,1,1,1,0
TDU15915.1,1,1,1,0
WP_076759643.1,1,1,1,0
OMD94051.1,1,1,1,0
TFK91052.1,1,1,1,0
XP_003002035.1,1,1,1,0
K5VYC8,1,1,1,0
Q6J765,1,1,1,0
A0A0A2J434,1,1,1,0
A0A292PYJ2,1,1,1,0
S8F3H1,1,1,1,0
RCX33951.1,1,1,1,0
PQK17230.1,1,1,1,0
EKV44424.1,1,1,1,0
EMR84211.1,1,1,1,0
EQL03934.1,1,1,1,0
D4QDX2,1,1,1,0
AGE64702.1,1,1,1,0
A0A1V6YVK7,1,1,1,0
TAI50787.1,1,1,1,0
EIW64100.1,1,1,1,0
A0A0C9UUW9,1,1,1,0
F8VB86,1,1,1,0
KPA35402.1,1,1,1,0
tr|A0A163BQD5|A0A163BQD5_DIDRA,1,1,1,0
CAB39311.1,1,1,1,0
WP_077736141.1,1,1,1,0
A0A1V6UEN0,1,1,1,0
PFH62401.1,1,1,1,0
V2X9W3,1,1,1,0
A8HK21,1,1,1,0
WP_099680628.1,1,1,1,0
M2QFS7,1,1,1,0
RPD79070.1,1,1,1,0
PNY26163.1,1,1,1,0
PHH65630.1,1,1,1,0
tr|N4V0T2|N4V0T2_COLOR,1,1,1,0
V2XZB2,1,1,1,0
WP_019715501.1,1,1,1,0
B8NF34,1,1,1,0
CCD47622.1,1,1,1,0
WP_087978166.1,1,1,1,0
WP_106065317.1,1,1,1,0
D5G8R0,1,1,1,0
KXJ87464.1,1,1,1,0
RPA85338.1,1,1,1,0
OAA77058.1,1,1,1,0
PNP49450.1,1,1,1,0
ANW18921.1,1,1,1,0
XP_025557626.1,1,1,1,0
EJP68103.1,1,1,1,0
PSK53775.1,1,1,1,0
XP_025545265.1,1,1,1,0
AWX23166.1,1,1,1,0
EKV44413.1,1,1,1,0
WP_059292675.1,1,1,1,0
VBB77193.1,1,1,1,0
V2WX15,1,1,1,0
PCD32535.1,1,1,1,0
SPU04888.1,1,1,1,0
tr|A0A179I4M4|A0A179I4M4_CORDF,1,1,1,0
EFY84450.1,1,1,1,0
XP_025589377.1,1,1,1,0
TEB23115.1,1,1,1,0
A0A225AAL1,1,1,1,0
KDQ29452.1,1,1,1,0
WP_101677171.1,1,1,1,0
PHH66748.1,1,1,1,0
TJW27579.1,1,1,1,0
AHL20218.1,1,1,1,0
A0A0H2SR27,1,1,1,0
KIL90274.1,1,1,1,0
QCT30933.1,1,1,1,0
R9APR4,1,1,1,0
OPX01533.1,1,1,1,0
KIK62265.1,1,1,1,0
OCB90812.1,1,1,1,0
PNP44485.1,1,1,1,0
WP_076208526.1,1,1,1,0
KUL18109.1,1,1,1,0
A0A1V6Z0B8,1,1,1,0
Q9Y8F0,1,1,1,0
S7RHM1,1,1,1,0
XP_023434080.1,1,1,1,0
V5FTA3,1,1,1,0
POS73946.1,1,1,1,0
A0A0C3AST9,1,1,1,0
A0A2H3DCA6,1,1,1,0
EIW52221.1,1,1,1,0
tr|A0A3S5CXF9|A0A3S5CXF9_9PEZI,1,1,1,0
CCE27177.1,1,1,1,0
TEB23107.1,1,1,1,0
A0A0C3E1A0,1,1,1,0
sp|P52755.1|QID3_TRIHA,1,1,1,0
AAZ66376.1,1,1,1,0
WP_106833622.1,1,1,1,0
S7ZUU9,1,1,1,0
AAN76355.1,1,1,1,0
WP_095324232.1,1,1,1,0
A0A0C3BEP6,1,1,1,0
RBA13562.1,1,1,1,0
XP_007917818.1,1,1,1,0
PKM92751.1,1,1,1,0
EKG10999.1,1,1,1,0
A0A371DB99,1,1,1,0
tr|A0A439DG19|A0A439DG19_9PEZI,1,1,1,0
A0A371CJQ9,1,1,1,0
WP_094760606.1,1,1,1,0
WP_103672559.1,1,1,1,0
WP_108417350.1,1,1,1,0
EFQ87838.1,1,1,1,0
A0A319C1G8,1,1,1,0
OCH87272.1,1,1,1,0
CAB39310.1,1,1,1,0
OCB91497.1,1,1,1,0
A0A0C3AIZ2,1,1,1,0
CEJ90140.1,1,1,1,0
OMI32364.1,1,1,1,0
OCH85602.1,1,1,1,0
XP_014553479.1,1,1,1,0
XP_025545050.1,1,1,1,0
EEB89685.1,1,1,1,0
XP_018142303.2,1,1,1,0
A0A225B3G2,1,1,1,0
WP_032730318.1,1,1,1,0
XP_025446161.1,1,1,1,0
WP_083698249.1,1,1,1,0
PAE33730.1,1,1,1,0
A9X647,1,1,1,0
XP_013938377.1,1,1,1,0
PHH62989.1,1,1,1,0
A0A0C9VZD1,1,1,1,0
A1C778,1,1,1,0
A0A2A9NAX8,1,1,1,0
XP_025541423.1,1,1,1,0
A0A1V6Z0F4,1,1,1,0
OCH87293.1,1,1,1,0
A0A2H3DMU8,1,1,1,0
OCH87291.1,1,1,1,0
XP_022487343.1,1,1,1,0
PAV14762.1,1,1,1,0
EMR82223.1,1,1,1,0
XP_014557594.1,1,1,1,0
A0A2H3EDQ8,1,1,1,0
PAD64308.1,1,1,1,0
EMR82851.1,1,1,1,0
XP_022471002.1,1,1,1,0
A0A0C3DWB2,1,1,1,0
A0A409W431,1,1,1,0
O59986,1,1,1,0
O59988,1,1,1,0
PPJ58862.1,1,1,1,0
XP_018139301.1,1,1,1,0
PPJ51365.1,1,1,1,0
WP_039075139.1,1,1,1,0
PHH67928.1,1,1,1,0
WP_105979488.1,1,1,1,0
ABE60727.1,1,1,1,0
ARW40974.1,1,1,1,0
KIY50833.1,1,1,1,0
ARW40716.1,1,1,1,0
A0A067PSA4,1,1,1,0
PMB64752.1,1,1,1,0
CZT23266.1,1,1,1,0
